,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
165,68,Bolivia (Plurin. State of),2010,Percentage of individuals using the internet,22.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
166,68,Bolivia (Plurin. State of),2015,Percentage of individuals using the internet,37.5,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
167,68,Bolivia (Plurin. State of),2019,Percentage of individuals using the internet,47.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
168,68,Bolivia (Plurin. State of),2020,Percentage of individuals using the internet,59.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
169,68,Bolivia (Plurin. State of),2021,Percentage of individuals using the internet,66.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
170,70,Bosnia and Herzegovina,2000,Percentage of individuals using the internet,1.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BIH,070
171,70,Bosnia and Herzegovina,2005,Percentage of individuals using the internet,21.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BIH,070
172,70,Bosnia and Herzegovina,2010,Percentage of individuals using the internet,42.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BIH,070
173,70,Bosnia and Herzegovina,2015,Percentage of individuals using the internet,52.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BIH,070
174,70,Bosnia and Herzegovina,2019,Percentage of individuals using the internet,69.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BIH,070
175,70,Bosnia and Herzegovina,2020,Percentage of individuals using the internet,73.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BIH,070
