,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO
108,145,Western Asia,2015,Percentage of individuals using the internet,50.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
109,145,Western Asia,2019,Percentage of individuals using the internet,65.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
110,145,Western Asia,2020,Percentage of individuals using the internet,69.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
111,145,Western Asia,2021,Percentage of individuals using the internet,71.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
112,150,Europe,2005,Percentage of individuals using the internet,39.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
113,150,Europe,2010,Percentage of individuals using the internet,62.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
114,150,Europe,2015,Percentage of individuals using the internet,74.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
115,150,Europe,2019,Percentage of individuals using the internet,82.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
116,150,Europe,2020,Percentage of individuals using the internet,85.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
117,150,Europe,2021,Percentage of individuals using the internet,87.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
118,9,Oceania,2000,Percentage of individuals using the internet,33.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
119,9,Oceania,2005,Percentage of individuals using the internet,47.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
120,9,Oceania,2010,Percentage of individuals using the internet,56.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
121,9,Oceania,2015,Percentage of individuals using the internet,64.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
122,9,Oceania,2019,Percentage of individuals using the internet,74.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
123,9,Oceania,2020,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
124,9,Oceania,2021,Percentage of individuals using the internet,79.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
125,53,Australia and New Zealand,2000,Percentage of individuals using the internet,46.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.","['AUS', 'NZL']"
126,53,Australia and New Zealand,2005,Percentage of individuals using the internet,63.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.","['AUS', 'NZL']"
127,53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.","['AUS', 'NZL']"
128,53,Australia and New Zealand,2015,Percentage of individuals using the internet,84.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.","['AUS', 'NZL']"
129,53,Australia and New Zealand,2019,Percentage of individuals using the internet,93.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.","['AUS', 'NZL']"
130,53,Australia and New Zealand,2020,Percentage of individuals using the internet,95.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.","['AUS', 'NZL']"
131,53,Australia and New Zealand,2021,Percentage of individuals using the internet,96.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.","['AUS', 'NZL']"
132,57,Micronesia,2000,Percentage of individuals using the internet,3.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM
133,57,Micronesia,2005,Percentage of individuals using the internet,11.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM
134,57,Micronesia,2010,Percentage of individuals using the internet,20.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM
135,57,Micronesia,2015,Percentage of individuals using the internet,31.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM
136,57,Micronesia,2019,Percentage of individuals using the internet,39.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM
137,57,Micronesia,2020,Percentage of individuals using the internet,40.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM
138,57,Micronesia,2021,Percentage of individuals using the internet,40.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM
139,4,Afghanistan,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG
140,4,Afghanistan,2010,Percentage of individuals using the internet,4.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG
141,4,Afghanistan,2015,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG
142,4,Afghanistan,2019,Percentage of individuals using the internet,17.6,Estimate.;Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG
143,4,Afghanistan,2020,Percentage of individuals using the internet,18.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG
144,8,Albania,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB
145,8,Albania,2005,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB
146,8,Albania,2010,Percentage of individuals using the internet,45.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB
147,8,Albania,2015,Percentage of individuals using the internet,56.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB
148,8,Albania,2019,Percentage of individuals using the internet,68.6,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB
149,8,Albania,2020,Percentage of individuals using the internet,72.2,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB
150,8,Albania,2021,Percentage of individuals using the internet,79.3,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB
151,12,Algeria,2000,Percentage of individuals using the internet,0.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA
152,12,Algeria,2005,Percentage of individuals using the internet,5.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA
153,12,Algeria,2010,Percentage of individuals using the internet,12.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA
154,12,Algeria,2015,Percentage of individuals using the internet,38.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA
155,12,Algeria,2019,Percentage of individuals using the internet,59.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA
156,12,Algeria,2020,Percentage of individuals using the internet,64.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA
157,12,Algeria,2021,Percentage of individuals using the internet,70.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA
158,20,Andorra,2000,Percentage of individuals using the internet,10.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND
159,20,Andorra,2005,Percentage of individuals using the internet,37.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND
160,20,Andorra,2010,Percentage of individuals using the internet,81.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND
161,20,Andorra,2015,Percentage of individuals using the internet,87.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND
162,20,Andorra,2019,Percentage of individuals using the internet,90.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND
163,20,Andorra,2020,Percentage of individuals using the internet,93.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND
164,20,Andorra,2021,Percentage of individuals using the internet,93.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND
165,24,Angola,2000,Percentage of individuals using the internet,0.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO
166,24,Angola,2005,Percentage of individuals using the internet,1.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO
167,24,Angola,2010,Percentage of individuals using the internet,2.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO
168,24,Angola,2015,Percentage of individuals using the internet,22.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO
169,24,Angola,2019,Percentage of individuals using the internet,32.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO
170,24,Angola,2020,Percentage of individuals using the internet,32.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO
171,24,Angola,2021,Percentage of individuals using the internet,32.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO
